publishdate,content_id,title_en,difficulty,mealtype,diettype,cuisine,cooking_method,steps,ingredients,#ingredients,steps_length
2018-07-15,R1177,Blueberry cobbler with vanilla ice cream,easy,dessert,vegetarian,american,"baking,oven","Zest orange and set aside. Transfer blueberries to a pie plate and juice the zested orange directly over the blueberries. Add vanilla sugar and toss to combine. Preheat oven to 200°C/390°F. Cut butter into cubes and add to a large bowl with orange zest. Add sugar, flour, baking powder, and salt to the same bowl, and mix with fingertips until small crumbs form. Add the egg and maple syrup, and mix with a cooking spoon. Distribute large spoonfuls of the batter evenly over the blueberries, but leave some space so that the blueberries are not completely covered. Bake the cobbler at 200°C/390°F for approx. 45 min., or until the top is golden brown. Remove from the oven and let cool for approx. 15 min. Serve with vanilla ice cream. Enjoy!","['baking powder', 'blueberries', 'butter', 'egg', 'flour', 'maple syrup', 'orange (zest and juice)', 'salt', 'sugar', 'vanilla ice cream for serving', 'vanilla sugar']",11,130
2015-12-02,R357,Little Santas cupcakes,easy,dessert,vegetarian,american,"baking,oven","Preheat oven to 180°C/350°F. In a standing mixer, beat sugar and a part of the butter until foamy. Add eggs, one at a time, and continue to beat until incorporated. Mix together flour and baking powder and add to the batter. Now add half the vanilla extract, coconut milk, and coconut liqueur and continue to beat dough until smooth. Line a muffin pan with muffin cups. Fill each cup halfway full and bake in a preheated oven at 180°C/350°F for approx. 25 – 30 min. Insert a toothpick to determine if the cupcakes are done. If the toothpick comes out clean, remove cupcakes from oven and set aside to cool. Reserve a small amount of black currant juice. For the buttercream, mix together remaining juice and confectioner’s sugar in a small saucepan. Bring to a low boil, reduce to a simmer, and cook over low heat for approx. 15 – 20 min. until reduced by half. In a small bowl, mix cornstarch together with reserved juice and add to pan. Return to a medium-high heat, stirring constantly, until thick cream is formed. Remove from heat and allow to cool. Melt white chocolate over a double boiler. Ice cupcakes with white chocolate and then immediately dip into coconut flakes. The tops should be completely covered. Transfer to a cake rack and allow icing to dry. Beat remaining butter for approx. 4 – 5 min. until frothy. Add vanilla extract and continue to beat for approx. 1 – 2 min. Slowly add currant crème until well mixed. If you want a darker red color, simply add red food coloring. Transfer buttercream to a pastry bag and set aside. With the buttercream, form small Santa hats on top of each cupcake. Then, place Raffaellos on top. Enjoy!","['baking powder', 'black currant juice', 'butter (divided)', 'coconut flakes', 'coconut liqueur (optional)', 'coconut milk', ""confectioner's sugar"", 'cornstarch', 'eggs', 'flour', 'Raffaellos', 'red food coloring (optional)', 'sugar', 'vanilla extract (divided)', 'white chocolate']",15,294
2017-07-07,R659,7-layer magic bars,easy,dessert,vegetarian,american,oven,Preheat oven to 180°C/350°F. Add butter to the baking pan and melt in preheated oven. Remove from oven and set aside. Sprinkle graham cracker crumbs and three-fourths of crushed pretzels over melted butter. Stir well; carefully press into bottom of pan to evenly cover. Sprinkle evenly with coconut flakes and nuts. Pour sweetened condensed milk evenly over top. Sprinkle with morsels and remaining crushed pretzels; press down lightly. Bake at 175°C/350°F for approx. 25 min. or until light golden brown. Cool completely in pan on set over a cooling rack. Cut into bars.,"['butter', 'coconut flakes (unsweetened)', 'graham cracker crumbs', 'mini chocolate chips (e.g. Nestlé® Toll House® Semi-Sweet Chocolate Mini Morsels)', 'pretzel sticks (crushed, divided)', 'sweetened condensed milk (e.g. Nestlé® La Lechera®)', 'walnuts (chopped)']",7,93
2018-07-15,C183,Stracciatella ice cream sandwiches,easy,dessert,vegetarian,american,freezing,"Roughly chop chocolate until you have a mix of fine and chunky pieces. Pour the heavy cream and sweetened condensed milk into a bowl and blend together using a hand mixer fitted with beaters. Add the chocolate to the cream mixture and stir to combine. Line a deep baking tray with a layer plastic wrap, making sure you have extra hanging over the edges. Place a single layer of the butter cookies on top, followed by all the ice cream filling mixture. Smooth out into an even layer. Finish by placing butter biscuits on top making sure they are in line with the bottom later, so that you can cut out the individual sandwiches once set. Cover with plastic wrap and refrigerate overnight. Use a knife to slice around the cookies and remove each sandwich from the tray with an offset spatula. Enjoy!","['butter cookies', 'chocolate', 'heavy cream', 'sweetened condensed milk']",4,143
2018-07-14,R1292,Chocolate whoopie pies with salted Swiss buttercream,medium,dessert,vegetarian,american,"baking,oven","Preheat the oven to 180°C/350°F. Thoroughly combine just over half of the sugar and molasses with a fork to make brown sugar. In a large bowl, cream together one third of the butter and all the brown sugar with a hand mixer with beaters. Add the whole egg and half the vanilla extract. In a separate bowl, whisk together the flour, cocoa, baking soda, and salt. Add the dry ingredients to the butter-sugar mixture in three parts, alternating with the buttermilk, until everything is combined. Using an ice cream scoop, scoop out mounds of batter onto a greased baking sheet. Leave plenty of room around each mound, as they will expand outwards as they bake. Bake at 180°C/350°F until tops are springy, approx. 12 – 15 min. Remove from oven and let cool completely or for at least 1 hr. Meanwhile, make the buttercream filling. Set a pot with some water over medium heat and set a heatproof bowl over the pot once the water begins to simmer. Combine egg whites and remaining sugar and whisk constantly until sugar is dissolved and egg white mixture reaches 70°C/160°F on a candy or food thermometer. Remove from heat. Using a hand mixer with beaters, beat the egg white and sugar mixture on high until it doubles in volume and becomes thick. Continue beating until the mixture is cool to the touch. Reduce the speed and add remaining butter in small chunks, until all the butter is mixed into the buttercream. Deseed the vanilla bean and add the seeds, remaining vanilla extract, and fleur de sel to the buttercream. Transfer to a piping bag with a round tip. Pair similarly sized cakes together. Arrange the bottoms with the flat side facing upwards, and pipe the buttercream onto them, leaving a little room around the edges. Sprinkle with fleur de sel, and top with the other cake half. Wrap individually in plastic wrap and store in the fridge for up to a week. Individually wrapped and stored in a resealable freezer bag, they will last for up to 3 months. Enjoy!","['baking soda', 'butter for greasing', 'buttermilk', 'butter (softened, divided)', 'cocoa', 'egg', 'egg whites', 'fleur de sel', 'fleur de sel for serving', 'flour', 'molasses', 'salt', 'sugar (divided)', 'vanilla bean', 'vanilla extract (divided)']",15,347
2015-12-12,R358,Double chocolate salted caramel cookies,easy,dessert,vegetarian,american,"baking,oven","Preheat oven to 180°C/350°F. In a medium-sized saucepan, melt butter over medium heat for approx. 1 – 2 min. Remove from heat. Add brown sugar and eggs to saucepan and stir until well combined. Next, add the cocoa, baking powder, flour, and salt and stir until well combined. Add chocolate chips to pan and stir to evenly combine. Form one tbsp dough into golf ball-sized shapes and then flatten into cookies. Place some hazelnut spread and a caramel candy into each cookie and seal edges. Place cookies on a lined baking sheet, sprinkle with fleur de sel, and bake in preheated oven at 180°C/350°F for approx. 8 – 12 min. After taking cookies out of the oven, set aside to cool down for approx. 10 min. Enjoy!","['all-purpose flour', 'baking powder', 'brown sugar', 'butter', 'caramel candies (soft)', 'chocolate chips', 'cocoa powder', 'eggs', 'fleur de sel for sprinkling', 'hazelnut spread', 'salt']",11,127
2018-07-12,R1111,DIY chewy M&M cookies,easy,dessert,vegetarian,american,"baking,oven","Preheat oven to 175°C/350°F. In a bowl mix flour and baking soda and whisk to combine. Add butter, vanilla extract, sugar, brown sugar, and salt to another bowl and beat with the hand mixer for approx. 5 min., or until fluffy. Add eggs one at a time and beat until combined. Stir flour mixture into butter-egg mixture and mix until well combined. Stir in some M&M’s and chocolate chips. Using an ice cream scoop to portion the dough and transfer dough balls onto a parchment-lined baking sheet, leaving enough space for each cookie. Best is to place not more than 4 – 6 cookies on a baking sheet. Press some M&M’s onto each cookie and bake at 175°C/350°F for approx. 12 min., or until just golden. Remove from oven and let cool completely. Store them in an airtight container and enjoy!","['baking soda', 'brown sugar', 'butter', 'chocolate chips', 'eggs', 'flour', ""M&M's (divided)"", 'salt', 'sugar', 'vanilla extract']",10,141
2015-12-14,R371,Energy salad,easy,main,vegetarian,american,sauteing,"Rinse quinoa under water and add to saucepan with salted water. Bring to a boil. Then, cover and reduce heat to low. Cook for  approx. 15 min. until tender. Remove from heat and let stand, covered, for  approx. 5 min. Peel carrots. Cut sweet potato, apple, and carrots into bite-sized pieces. In a large frying pan, sauté sweet potato over medium-high heat for approx. 6 – 10 min. until golden brown and tender. Add carrots and sauté for approx. 3 – 5 min. In a large bowl, combine sweet potato, apple, carrot, spinach, raisins, and cashews. Mix well to combine. Whisk together mustard, honey, balsamic vinegar, olive oil, salt, and pepper. Drizzle over salad and lightly toss to combine. Enjoy as a warm or cold salad!","['apple', 'balsamic vinegar', 'carrots', 'cashews', 'coconut oil', 'honey', 'mustard', 'olive oil', 'pepper', 'quinoa', 'raisins', 'salt', 'spinach', 'sweet potato', 'water']",15,126
2015-12-17,R362,Long Island iced tea,easy,drinks,alcoholic,american,,"Cut lemon into thin slices. Fill cocktail shaker and serving glass with ice. Add tequila, vodka, white rum, triple sec, gin, lemon juice, and gomme syrup to the cocktail shaker and shake vigorously. Pour into long drink glass. Add a splash of cola to the glass and stir. Add several slices of lemon. Enjoy!","['cola', 'gin', 'gomme syrup', 'ice cubes', 'lemon', 'lemon juice', 'tequila', 'triple sec', 'vodka', 'white rum']",10,54
2015-12-17,R367,Mojito,easy,drinks,alcoholic,american,,"Cut lime into pieces. In a glass, add sugar and lime pieces. Gently muddle mint stalks between the palms of your hand and add to glass. Add soda water and crush ingredients with a pestle. Add ice cubes to glass. Pour in rum and lightly stir. Top up with soda water. Garnish with mint and enjoy!","['ice cubes for serving', 'lime', 'mint', 'mint for garnish', 'rum (white)', 'soda water', 'turbinado sugar']",7,56
2015-12-17,R369,Moscow mule,easy,drinks,alcoholic,american,,"Cut cucumber into slices. Fill a copper mug half full with ice. Add vodka and stir. Juice lime into mug. Finally, pour in ginger beer. Add cucumbers to mug and garnish with mint leaves.","['cucumber', 'ginger beer', 'ice for serving', 'lime (juice)', 'mint for garnishing', 'vodka']",6,34
2018-05-22,C121,French toast with strawberries and bacon,easy,others,non-vegetarian,american,"frying,grilling","Whisk egg together with a little milk and season with salt and pepper. Soak each slice of your bread in the mixture, making sure to turn each piece over. Slice strawberries. Place bacon in a cold pan, then heat to medium-high and fry until crispy. Fry the bread in a little butter until golden brown. Serve with bacon, strawberries, and a little black pepper. Enjoy!","['bacon', 'butter for frying', 'egg', 'milk', 'pepper', 'salt', 'sandwich bread', 'strawberries']",8,65
2015-12-18,R372,Cosmopolitan,easy,drinks,alcoholic,american,,"Briefly place martini glass in freezer until lightly frosted. In a cocktail shaker, add Cointreau, cranberry juice, lime juice, vodka, and ice cubes. Shake vigorously for approx. 30 sec. Rub the rim with lime peel. Strain into martini glass and serve with lime peel as garnish. Enjoy!","['Cointreau', 'cranberry juice', 'ice cubes', 'lime juice', 'lime peel for garnish', 'vodka']",6,47
2016-04-21,R597,Skillet Cookie,easy,dessert,vegetarian,american,"baking,oven","A cookie as big as a grown man’s head. What sounds like something straight out of one of cookie monster’s dreams is actually sweet reality. That’s right. Instead of dividing up the dough into several individual cookies and running the risk of having to share it, use it instead for one giant cookie that will be all yours. You won’t be lying when you say, “Oh, I’m sorry. This is my last one.” But actually, the fun part about the skillet cookie is being able to share it with a bunch of good friends. So invite them over and treat them to a giant cookie feast. And don’t forget to top it off with a scoop of ice cream. You will never long for company again.
As always, find the full recipe in the video.","['baking soda', 'brown sugar', 'chocolate chips (whole milk, dark, white)', 'coarse salt', 'flour (spooned and leveled)', 'large egg', 'sugar', 'unsalted butter, room temperature', 'vanilla extract']",9,135
2018-05-27,C124,Chocolate tart,medium,dessert,vegetarian,american,baking,"To make the dough, mix together egg, butter, vanilla custard powder, confectioner’s sugar, flour, and starch. Knead well. Cover in plastic wrap. Refrigerate for approx. 1 hr. Preheat the oven to 180°C/350°F. Roll out dough and place in a suitable pie plate greased with oil. Blind-bake the dough using baking beans. To do so, prick the dough with a fork, cover with parchment paper, and fill in the baking beans. Now bake at 180°C/350°F for approx. 18 min. Remove parchment paper and beans after baking. Turn oven down to 160°C/320°F. To make the chocolate filling, set up a double boiler and melt the bittersweet couverture chocolate. Whisk in milk, egg yolk, and crème fraîche, stir to combine, then fill to the rim of the prebaked tart base. Now bake for approx. 12 min. Set aside to cool for approx. 30 min. Garnish with chocolate shavings, serve, and enjoy!","['bittersweet couverture chocolate', 'butter', 'chocolate shavings for serving', 'confectioner’s sugar', 'crème fraîche', 'eggs (divided)', 'flour', 'milk', 'oil for greasing', 'starch', 'vanilla custard powder']",11,148
2017-12-08,R1019,Braised brisket,medium,main,non-vegetarian,american,"oven,roasting","Pre-heat oven to 160°C/325°F. Season brisket with salt and pepper. Heat oil in a large, heavy-bottomed pot and briefly brown brisket on all sides. Peel shallots and garlic cloves. Remove brisket from pot. Briefly fry shallots and garlic in remaining fat. Add tomato paste and mustard and briefly sauté. Pour in beer and stock. Add bay leaves and honey and let simmer for approx 2 min. Place meat back in pot and cover with lid. Transfer pan to oven and roast at 160°C/325°F for approx. 2.5 hrs. Remove lid and place back in oven for approx. 30 min. more. Remove brisket form pot, cover with aluminum foil ,and let rest for approx. 15 min. Meanwhile, strain remaining liquid into a saucepan. Mix cornstarch and water to form a slurry, then add to the liquid. Simmer over medium heat until gravy is reduced and thickened to preference. Slice brisket and serve with gravy and roasted vegetables on the side. Enjoy!","['bay leaves', 'beef brisket', 'beef stock', 'beer (pils)', 'corn starch', 'garlic', 'grainy mustard', 'honey', 'olive oil', 'pepper', 'roasted vegetables for serving', 'salt', 'shallots', 'tomato paste', 'water']",15,159
2018-07-10,C166,Blackberry cheesecake,medium,dessert,non-vegetarian,american,"baking,oven","Preheat oven to 175°C/345°C. To make the crust, place the graham crackers into a food processor and pulse until fine. Place into a bowl. Melt the butter, pour over the crumb mixture and stir to combine. Pour the mixture into a cake tin and press down well to create an even base layer. Transfer to the fridge to set. In the meantime, add sugar, quark, cream cheese, and lemon zest to a bowl and mix well. Beat eggs in another bowl, gradually add them to the cheesecake mixture, mixing well until combined. Finally, add the flour and mix again. Remove the cake tin from the fridge. Pour in the cheesecake mixture and bake at 175°C/345°C for approx. 50 min. In the meantime, using a food processor, puree the blackberries with the vanilla sugar. In a small pot, prepare gelatin according to packet instructions, gradually add in the blackberry puree, remove from heat. Remove cake from the oven, pour the blackberry puree on top, and leave to cool slightly before placing in the fridge to set, for best results, overnight.","['blackberries', 'butter', 'cream cheese', 'eggs', 'flour', 'gelatin', 'graham crackers', 'lemon zest', 'quark', 'sugar', 'vanilla sugar']",11,179
2018-05-28,C125,Peruvian-style ceviche,medium,main,non-vegetarian,american,marinating,"Dice fish filet to 1-cm/0.5-in. thick. (Make sure your fish is fresh, as it will be eaten raw). Place in a bowl. Remove the skin of the bell pepper with a peeler and cut the flesh into a fine dice. Finely slice the scallions (cut diagonally to create prettier rings). Add to the fish and mix well. Chill in the refrigerator. To prepare the marinade, juice the limes into a bowl. Gently deseed the chili and very finely dice. Add to the lime juice, then add sea salt and stir well. Chill in the refrigerator. Wash the mint and cilantro, then remove the leaves and chop. Discard the stalks. Chill leaves in the refrigerator. Now that everything is ready and chilled, it’s time to assemble. Pour the marinade over the fish and mix so that the fish is covered. It should not soak in fully though, as the center of the fish should remain raw. Marinate no longer than 3 min. Then add the herbs, as well as half of the cress. Serve ceviche on a plate and garnish with the remaining cress. At the end, drizzle with olive oil and enjoy! Want to share your recipe with our awesome community? Each week, we'll be choosing your best recipes to test cook, photograph, and publish on Kitchen Stories for the world to see! Simply email us at community@kitchenstories.io and send us your recipe.","['cilantro', 'cod', 'garden cress', 'limes (juice)', 'mint', 'olive oil', 'red chili peppers', 'scallions', 'sea salt', 'yellow bell pepper']",10,233
2019-06-29,R1642,Tex-Mex stuffed peppers,easy,main,vegetarian,american,,"Finely chop onion, garlic, and chili. Halve and deseed bell peppers. Heat some olive oil in a frying pan and fry onion, garlic, and chili for approx. 2 min. Add rice and fry for approx. 1 min. Add cumin and coriander, vegetable stock, and tomato purée. Season with salt and pepper, cover with a lid, and let simmer for approx. 20 min. Preheat the oven to 200°C/390°F. Transfer halved bell peppers to a baking dish. Transfer rice mixture to a bowl and add the canned black beans, white beans, and sweet corn. Season with salt, pepper, and sugar to taste. Fill bell peppers with the rice and bean mixture and top with cheddar cheese. Bake at 200°C/390°F for approx. 20 min. Finely chop cilantro, add to a bowl with sour cream and stir to combine. Season with lime juice, salt, and pepper. Serve the stuffed bell peppers with sour cream dip. Enjoy!","['bell peppers', 'canned black beans', 'canned sweet corn', 'canned white beans', 'cheddar cheese (grated)', 'chili', 'cilantro', 'garlic', 'ground coriander', 'ground cumin', 'light crème fraîche', 'lime', 'olive oil (for frying)', 'onion', 'pepper', 'rice', 'salt', 'sugar', 'tomato purée', 'vegetable broth']",20,152
